fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
53,103640_48153,ND,150,150,9695,0.6405096308002486,0.5130429106214232,-0.07754216994736374,0.42036942415870726
53,103640_48153,ND,200,200,12933,0.6578627067098602,0.5303146499957819,-0.13671994975235013,0.6948729520663619
53,103640_48153,ND,250,250,16562,0.6075210705898387,0.4850734126480836,0.030594147847898934,1.8901993772014976
53,103640_48153,ND,300,300,19952,0.6387560206366708,0.5088991008874462,-0.07164997998442568,3.0297757028602064
53,103640_48153,ND,350,350,22934,0.6190987098670895,0.49187500431818454,-0.0067062036989937734,2.641281106043607
53,103640_48153,ND,400,400,26567,0.6132380269433589,0.4861788424135813,0.012263500896164903,3.54516215599142
54,113562_43461,ID,25,25,1618,0.661465361501881,0.5510043175265403,-0.025230089972272607,0.40985772595740855
54,113562_43461,ID,50,50,3318,0.6338088983433188,0.5410544472984791,0.05870924138454903,0.13157081394456327
54,113562_43461,ID,100,100,6606,0.533685715371306,0.459634158000152,0.332612162416435,0.2138481850270182
54,113562_43461,ID,150,150,10200,0.5552990580902212,0.47584421581286684,0.27746148160643735,0.45762672601267695
54,113562_43461,ID,200,200,13335,0.5077625338946077,0.43981497353396637,0.3958727359472888,1.8206499160733074
54,113562_43461,ID,250,250,16756,0.5153573307631508,0.44734845608768065,0.3776652572652206,1.1966169159859419
54,113562_43461,ID,300,300,19769,0.5060880059536196,0.4342431951999765,0.39985081551883017,2.1747856710571796
54,113562_43461,ID,350,350,23432,0.49845472255438694,0.4294099974038908,0.41781828564844026,3.3667548520024866
54,113562_43461,ID,400,400,26891,0.5115007043469447,0.4405521239468881,0.3869447686305948,3.4285696430597454
55,114928_44170,ID,25,25,1563,0.6197469339809779,0.4885808430671573,-0.012700268749269217,0.36170286289416254
55,114928_44170,ID,50,50,3283,0.6552606714965052,0.5512980048307888,-0.13208844203389236,0.13835002901032567
55,114928_44170,ID,100,100,6857,0.529261458927598,0.4568246744946294,0.2614282524306232,0.25303243892267346
55,114928_44170,ID,150,150,9709,0.6398853630888294,0.5426950720976684,-0.07958415959123477,0.44892197800800204
55,114928_44170,ID,200,200,13274,0.5696901665801117,0.48736828073095184,0.14428410767345246,1.8448627148754895
55,114928_44170,ID,250,250,16765,0.5881104157725857,0.5052915518692145,0.0880523814023978,1.2595662279054523
55,114928_44170,ID,300,300,19988,0.5660989241203046,0.480065993153851,0.1550387153352233,1.8280316090676934
55,114928_44170,ID,350,350,23248,0.6054557573871474,0.5243029098932686,0.033466351214181844,2.5608849809505045
55,114928_44170,ID,400,400,26541,0.547355155036745,0.47259233053675587,0.21006641868471665,3.453725080937147
56,108720_47582,MT,25,25,1619,0.5204361689575137,0.4218635694343982,0.21254216518079672,0.17211057897657156
56,108720_47582,MT,50,50,3243,0.5577129981131681,0.4590303378310828,0.09569715229495568,0.1309982619713992
56,108720_47582,MT,100,100,6696,0.45846156820304007,0.3754959714305465,0.38891976490057756,0.22024431102909148
56,108720_47582,MT,150,150,9980,0.49916321998136787,0.4093824841621458,0.275601535644329,0.42227763403207064
56,108720_47582,MT,200,200,13063,0.4671318363027068,0.3772543845912634,0.3655881314993379,1.7652931429911405
56,108720_47582,MT,250,250,16624,0.463730063174725,0.3814976279382851,0.37479438579459945,1.151309983804822
56,108720_47582,MT,300,300,20146,0.4430906541800988,0.3564720156418427,0.42920843644587203,2.4127902721520513
56,108720_47582,MT,350,350,23234,0.4514585255272851,0.36787757406799587,0.40744579623919075,2.8473528961185366
56,108720_47582,MT,400,400,26760,0.41984451835485176,0.3436914316294669,0.48752894571412275,3.6272569559514523
57,113997_48510,MT,25,25,1705,0.6366064578864564,0.5250187725662031,0.0511408944105024,0.531440859194845
57,113997_48510,MT,50,50,3269,0.5740637870693529,0.4720606161979547,0.2284217920017645,0.1368198678828776
57,113997_48510,MT,100,100,6477,0.7466901652780783,0.6395172052595482,-0.30539069384888484,0.21378253493458033
57,113997_48510,MT,150,150,9837,0.7889489945346808,0.6798102501369014,-0.457328653251456,0.4476541669573635
57,113997_48510,MT,200,200,13408,0.7992732617680891,0.6939576333019181,-0.4957197186738824,1.4278691331855953
57,113997_48510,MT,250,250,16966,0.8965458134505125,0.789934829409591,-0.8819350186650785,1.3302074179518968
57,113997_48510,MT,300,300,20167,0.8766015802825886,0.7719719660690414,-0.7991366403670968,3.140720949973911
